Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Custom field (Customer Name),Custom field (Customer User ID),Custom field (Department/Faculty),Time Spent,Component/s,Component/s,Due Date
,ITRC-28,,,T28,,,,,,,,,,,,,,
,ITRC-29,,,T29,,,,,,,,,,,,,,
,ITRC-30,,,T30,,,,,,,,,,,,,,
,ITRC-31,,,T31,,,,,,,,,,,,,,
,ITRC-32,,,T32,,,,,,,,,,,,,,
,ITRC-33,,,T33,,,,,,,,,,,,,,
,ITRC-34,,,T34,,,,,,,,,,,,,,
,ITRC-35,,,T35,,,,,,,,,,,,,,
,ITRC-36,,,T36,,,,,,,,,,,,,,
,ITRC-37,,,T37,,,,,,,,,,,,,,
,ITRC-38,,,T38,,,,,,,,,,,,,,
,ITRC-39,,,T39,,,,,,,,,,,,,,
,ITRC-40,,,T40,,,,,,,,,,,,,,
,ITRC-41,,,T41,,,,,,,,,,,,,,
,ITRC-42,,,T42,,,,,,,,,,,,,,
,ITRC-43,,,T43,,,,,,,,,,,,,,
,ITRC-44,,,T44,,,,,,,,,,,,,,
,ITRC-45,,,T45,,,,,,,,,,,,,,
,ITRC-46,,,T46,,,,,,,,,,,,,,
,ITRC-47,,,T47,,,,,,,,,,,,,,
,ITRC-48,,,T48,,,,,,,,,,,,,,
,ITRC-49,,,T49,,,,,,,,,,,,,,
,ITRC-50,,,T50,,,,,,,,,,,,,,
,ITRC-51,,,T51,,,,,,,,,,,,,,
,ITRC-52,,,T52,,,,,,,,,,,,,,
,ITRC-53,,,T53,,,,,,,,,,,,,,
,ITRC-54,,,T54,,,,,,,,,,,,,,
,ITRC-55,,,T55,,,,,,,,,,,,,,
,ITRC-56,,,T56,,,,,,,,,,,,,,
,ITRC-57,,,T57,,,,,,,,,,,,,,
,ITRC-58,,,T58,,,,,,,,,,,,,,
,ITRC-59,,,T59,,,,,,,,,,,,,,
,ITRC-60,,,T60,,,,,,,,,,,,,,
,ITRC-61,,,T61,,,,,,,,,,,,,,
,ITRC-62,,,T62,,,,,,,,,,,,,,
,ITRC-63,,,T63,,,,,,,,,,,,,,
,ITRC-64,,,T64,,,,,,,,,,,,,,
,ITRC-65,,,T65,,,,,,,,,,,,,,
,ITRC-66,,,T66,,,,,,,,,,,,,,
,ITRC-67,,,T67,,,,,,,,,,,,,,
,ITRC-68,,,T68,,,,,,,,,,,,,,
,ITRC-69,,,T69,,,,,,,,,,,,,,
,ITRC-70,,,T70,,,,,,,,,,,,,,
,ITRC-71,,,T71,,,,,,,,,,,,,,
,ITRC-72,,,T72,,,,,,,,,,,,,,
,ITRC-73,,,T73,,,,,,,,,,,,,,
,ITRC-74,,,T74,,,,,,,,,,,,,,
,ITRC-75,,,T75,,,,,,,,,,,,,,
,ITRC-76,,,T76,,,,,,,,,,,,,,
,ITRC-77,,,T77,,,,,,,,,,,,,,
,ITRC-78,,,T78,,,,,,,,,,,,,,
,ITRC-79,,,T79,,,,,,,,,,,,,,
,ITRC-80,,,T80,,,,,,,,,,,,,,
,ITRC-81,,,T81,,,,,,,,,,,,,,
,ITRC-82,,,T82,,,,,,,,,,,,,,
,ITRC-83,,,T83,,,,,,,,,,,,,,
